SEGGER J-Link V9.14a - Real time terminal output
SEGGER J-Link V13.0, SN=53000782
Process: JLinkGDBServerCLExe
CM7_MAGIC=C07C07C7 CM7=67000000 CM4_MAGIC=C04C04C4 CM4=56315
CM7_MAGIC=C07C07C7 CM7=68000000 CM4_MAGIC=C04C04C4 CM4=57155
CM7_MAGIC=C07C07C7 CM7=69000000 CM4_MAGIC=C04C04C4 CM4=57994
CM7_MAGIC=C07C07C7 CM7=70000000 CM4_MAGIC=C04C04C4 CM4=58833
CM7_MAGIC=C07C07C7 CM7=71000000 CM4_MAGIC=C04C04C4 CM4=59673
CM7_MAGIC=C07C07C7 CM7=72000000 CM4_MAGIC=C04C04C4 CM4=60512
CM7_MAGIC=C07C07C7 CM7=73000000 CM4_MAGIC=C04C04C4 CM4=61351
CM7_MAGIC=C07C07C7 CM7=74000000 CM4_MAGIC=C04C04C4 CM4=62191
CM7_MAGIC=C07C07C7 CM7=75000000 CM4_MAGIC=C04C04C4 CM4=63030
CM7_MAGIC=C07C07C7 CM7=76000000 CM4_MAGIC=C04C04C4 CM4=63869
CM7_MAGIC=C07C07C7 CM7=77000000 CM4_MAGIC=C04C04C4 CM4=64709
CM7_MAGIC=C07C07C7 CM7=78000000 CM4_MAGIC=C04C04C4 CM4=65548
CM7_MAGIC=C07C07C7 CM7=79000000 CM4_MAGIC=C04C04C4 CM4=66387
CM7_MAGIC=C07C07C7 CM7=80000000 CM4_MAGIC=C04C04C4 CM4=67227
CM7_MAGIC=C07C07C7 CM7=81000000 CM4_MAGIC=C04C04C4 CM4=68066
CM7_MAGIC=C07C07C7 CM7=82000000 CM4_MAGIC=C04C04C4 CM4=68905
CM7_MAGIC=C07C07C7 CM7=83000000 CM4_MAGIC=C04C04C4 CM4=69745
CM7_MAGIC=C07C07C7 CM7=84000000 CM4_MAGIC=C04C04C4 CM4=70584
CM7_MAGIC=C07C07C7 CM7=85000000 CM4_MAGIC=C04C04C4 CM4=71424
CM7_MAGIC=C07C07C7 CM7=86000000 CM4_MAGIC=C04C04C4 CM4=72263
CM7_MAGIC=C07C07C7 CM7=87000000 CM4_MAGIC=C04C04C4 CM4=73102
CM7_MAGIC=C07C07C7 CM7=88000000 CM4_MAGIC=C04C04C4 CM4=73942
CM7_MAGIC=C07C07C7 CM7=89000000 CM4_MAGIC=C04C04C4 CM4=74781
CM7_MAGIC=C07C07C7 CM7=90000000 CM4_MAGIC=C04C04C4 CM4=75620
CM7_MAGIC=C07C07C7 CM7=91000000 CM4_MAGIC=C04C04C4 CM4=76460
CM7_MAGIC=C07C07C7 CM7=92000000 CM4_MAGIC=C04C04C4 CM4=77299
CM7_MAGIC=C07C07C7 CM7=93000000 CM4_MAGIC=C04C04C4 CM4=78138
CM7_MAGIC=C07C07C7 CM7=94000000 CM4_MAGIC=C04C04C4 CM4=78978
CM7_MAGIC=C07C07C7 CM7=95000000 CM4_MAGIC=C04C04C4 CM4=79817
CM7_MAGIC=C07C07C7 CM7=96000000 CM4_MAGIC=C04C04C4 CM4=80656
CM7_MAGIC=C07C07C7 CM7=97000000 CM4_MAGIC=C04C04C4 CM4=81496
CM7_MAGIC=C07C07C7 CM7=98000000 CM4_MAGIC=C04C04C4 CM4=82335
CM7_MAGIC=C07C07C7 CM7=99000000 CM4_MAGIC=C04C04C4 CM4=83174
CM7_MAGIC=C07C07C7 CM7=100000000 CM4_MAGIC=C04C04C4 CM4=84014
CM7_MAGIC=C07C07C7 CM7=101000000 CM4_MAGIC=C04C04C4 CM4=84853
CM7_MAGIC=C07C07C7 CM7=102000000 CM4_MAGIC=C04C04C4 CM4=85693
CM7_MAGIC=C07C07C7 CM7=103000000 CM4_MAGIC=C04C04C4 CM4=86532
CM7_MAGIC=C07C07C7 CM7=104000000 CM4_MAGIC=C04C04C4 CM4=87371
CM7_MAGIC=C07C07C7 CM7=105000000 CM4_MAGIC=C04C04C4 CM4=88211
CM7_MAGIC=C07C07C7 CM7=106000000 CM4_MAGIC=C04C04C4 CM4=89050
CM7_MAGIC=C07C07C7 CM7=107000000 CM4_MAGIC=C04C04C4 CM4=89889
CM7_MAGIC=C07C07C7 CM7=108000000 CM4_MAGIC=C04C04C4 CM4=90729
CM7_MAGIC=C07C07C7 CM7=109000000 CM4_MAGIC=C04C04C4 CM4=91568
CM7_MAGIC=C07C07C7 CM7=110000000 CM4_MAGIC=C04C04C4 CM4=92407
CM7_MAGIC=C07C07C7 CM7=111000000 CM4_MAGIC=C04C04C4 CM4=93247
CM7_MAGIC=C07C07C7 CM7=112000000 CM4_MAGIC=C04C04C4 CM4=94086
CM7_MAGIC=C07C07C7 CM7=113000000 CM4_MAGIC=C04C04C4 CM4=94925
CM7_MAGIC=C07C07C7 CM7=114000000 CM4_MAGIC=C04C04C4 CM4=95765
CM7_MAGIC=C07C07C7 CM7=115000000 CM4_MAGIC=C04C04C4 CM4=96604
CM7_MAGIC=C07C07C7 CM7=116000000 CM4_MAGIC=C04C04C4 CM4=97444
CM7_MAGIC=C07C07C7 CM7=117000000 CM4_MAGIC=C04C04C4 CM4=98283
CM7_MAGIC=C07C07C7 CM7=118000000 CM4_MAGIC=C04C04C4 CM4=99122
